"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Vesia, Alex",681911,"LAD","FF","4-Seam Fastball",1.1,8,"700",63.1,"170","0.15","0.357","0.295",28.4,28.8,21,"0.166","0.404","0.314",40.9
"Peterson, David",656849,"NYM","SI","Sinker",1.1,6,"585",31.3,"170","0.253","0.36","0.331",15.8,11.8,21.5,"0.293","0.429","0.357",43.5
"Kremer, Dean",665152,"BAL","FF","4-Seam Fastball",-0.7,-5,"700",32.2,"170","0.247","0.5","0.375",23.1,26.5,20.1,"0.244","0.526","0.373",46.1
"Bibee, Tanner",676440,"CLE","FC","Cutter",1.9,14,"736",25.8,"170","0.144","0.235","0.225",36.2,31.8,23,"0.179","0.288","0.25",26.5
"Blach, Ty",621389,"COL","SI","Sinker",-3.6,-21,"576",50.8,"169","0.386","0.68","0.483",9,11.2,14.3,"0.342","0.654","0.445",44.9
"Allen, Logan",671106,"CLE","FF","4-Seam Fastball",-1.6,-10,"622",37.4,"169","0.322","0.559","0.4",14.6,15.4,16.6,"0.299","0.528","0.385",50
"Taillon, Jameson",592791,"CHC","FC","Cutter",2.4,15,"622",25.1,"168","0.252","0.31","0.277",19.1,14.3,23.8,"0.264","0.404","0.315",36.1
"Mikolas, Miles",571945,"STL","FF","4-Seam Fastball",0,0,"755",27.9,"168","0.295","0.455","0.357",17.8,13.7,10.4,"0.276","0.474","0.342",52.6
"Kimbrel, Craig",518886,"BAL","FF","4-Seam Fastball",-0.1,-1,"633",65.7,"167","0.203","0.421","0.34",28.9,32.9,27.8,"0.21","0.408","0.34",46.9
"López, Pablo",641154,"MIN","CH","Changeup",-0.1,0,"599",20.1,"166","0.281","0.359","0.309",24.9,19.9,18.3,"0.261","0.349","0.297",24.8
"Montero, Keider",672456,"DET","FF","4-Seam Fastball",0.1,0,"638",41.5,"166","0.272","0.49","0.367",18,17.5,16.5,"0.315","0.515","0.394",49.2
"Paddack, Chris",663978,"MIN","FF","4-Seam Fastball",0.7,4,"626",42.9,"166","0.277","0.4","0.317",24.3,28.3,24.4,"0.245","0.376","0.295",48.6
"Snell, Blake",605483,"SF","FF","4-Seam Fastball",1,9,"821",46.3,"165","0.201","0.306","0.284",24.4,24.8,20.9,"0.195","0.344","0.294",33
"Quintana, Jose",500779,"NYM","CU","Curveball",-0.5,-3,"616",21.9,"165","0.265","0.444","0.34",26.4,19.4,19.4,"0.272","0.426","0.332",33.3
"Rogers, Trevor",669432,"BAL","FF","4-Seam Fastball",-0.1,-1,"711",31.7,"164","0.25","0.463","0.346",23.3,23.8,17.9,"0.238","0.494","0.356",48.5
"Littell, Zack",641793,"TB","FS","Split-Finger",-0.9,-5,"576",23.2,"164","0.258","0.423","0.299",34.4,29.3,18.3,"0.245","0.37","0.267",37.4
"Walker, Ryan",676254,"SF","SI","Sinker",1.8,12,"667",54.7,"162","0.201","0.264","0.267",18.8,26.5,22.3,"0.213","0.322","0.28",37.3
"Scott, Tanner",656945,"SD","FF","4-Seam Fastball",2,14,"688",59.2,"162","0.134","0.179","0.231",28.9,29,21.1,"0.183","0.251","0.269",28.9
"Castillo, Luis",622491,"SEA","SI","Sinker",-0.6,-3,"516",18.1,"162","0.295","0.456","0.371",10.5,11.7,16.2,"0.303","0.454","0.357",42.3
"Kirby, George",669923,"SEA","SL","Slider",1.4,10,"702",23.7,"162","0.226","0.316","0.253",27.1,22.8,22.6,"0.236","0.387","0.287",32.5
"Williams, Gavin",668909,"CLE","FF","4-Seam Fastball",0,0,"704",51.5,"161","0.286","0.421","0.362",22,18,14.6,"0.279","0.456","0.36",41.6
"Ortiz, Luis L.",682847,"PIT","SI","Sinker",0.6,3,"554",25.9,"161","0.237","0.374","0.333",12.8,5.6,11.4,"0.287","0.487","0.379",44.7
"Adams, Austin",613534,"OAK","SL","Slider",-0.3,-2,"594",73.8,"161","0.246","0.346","0.341",39.3,32.3,24.9,"0.198","0.268","0.296",27.5
"Bradford, Cody",674003,"TEX","FF","4-Seam Fastball",2.1,13,"614",52.3,"160","0.185","0.344","0.253",21.3,23.8,19.2,"0.218","0.392","0.281",37.7
"Pop, Zach",647315,"TOR","SI","Sinker",-0.5,-3,"540",72.7,"159","0.254","0.415","0.363",21.8,16.4,20.6,"0.28","0.442","0.35",50.4
"Alvarado, José",621237,"PHI","SI","Sinker",0.2,1,"623",59.2,"159","0.255","0.416","0.346",16.2,10.7,13.6,"0.301","0.473","0.381",43
"Bednar, David",670280,"PIT","FF","4-Seam Fastball",-0.9,-5,"568",55.5,"158","0.256","0.459","0.377",24.1,18.4,16.7,"0.243","0.473","0.362",42.5
